filename,decision,website
amremodelingflorida_com.png,LEAD,amremodelingflorida.com
apcroofing_com.png,LEAD,apcroofing.com
apexesllc_com.png,LEAD,apexesllc.com
apsorl_com.png,LEAD,apsorl.com
aquaticsconnect_com_avon_park_services_vendors_sap.png,LEAD,aquaticsconnect.com.avon.park.services.vendors.sap
aquaticsconnect_com_lakeland_services_vendors_lake.png,LEAD,aquaticsconnect.com.lakeland.services.vendors.lake
aquaticsconnect_com_mulberry_services_vendors_back.png,LEAD,aquaticsconnect.com.mulberry.services.vendors.back
aquaticsconnect_com_orlando_services_vendors_msc_p.png,LEAD,aquaticsconnect.com.orlando.services.vendors.msc.p
aquaticsconnect_com_winter_garden_services_vendors.png,LEAD,aquaticsconnect.com.winter.garden.services.vendors
ariseone_us.png,LEAD,ariseone.us
atelectricllc_net.png,LEAD,atelectricllc.net
atlineelectric_com.png,LEAD,atlineelectric.com
atlineelectric_com__gmb.png,LEAD,atlineelectric.com..gmb
a_lumination_com.png,LEAD,a.lumination.com
benchmarkbuildinggroup_com.png,LEAD,benchmarkbuildinggroup.com
bestpestcontrol_site.png,LEAD,bestpestcontrol.site
biotechpestcontrol_com.png,LEAD,biotechpestcontrol.com
blueboxplumbing_com.png,LEAD,blueboxplumbing.com
bprinc_com.png,LEAD,bprinc.com
builtbymayfield_com.png,LEAD,builtbymayfield.com
burnesroofing_com.png,LEAD,burnesroofing.com
calltitanz_com.png,LEAD,calltitanz.com
cassadyelectricinc_com.png,LEAD,cassadyelectricinc.com
cdec_inc_com_index_html.png,LEAD,cdec.inc.com.index.html
chrislawncareservices_com.png,LEAD,chrislawncareservices.com
cortesec_com.png,LEAD,cortesec.com
cpawolfe_com.png,LEAD,cpawolfe.com
crownpestcontroljax_com.png,LEAD,crownpestcontroljax.com
curryplumbing_com.png,LEAD,curryplumbing.com
cwwoodplumbing_com.png,LEAD,cwwoodplumbing.com
cyrilshomerepairs_com.png,LEAD,cyrilshomerepairs.com
davenportheatandcool_com.png,LEAD,davenportheatandcool.com
doityourselfpestproducts_com__utm_source_omg_gbp_u.png,LEAD,doityourselfpestproducts.com..utm.source.omg.gbp.u
dorisbonnet_com.png,LEAD,dorisbonnet.com
dulniaktax_com.png,LEAD,dulniaktax.com
emeraldplumbing_net.png,LEAD,emeraldplumbing.net
enetaxplus_com.png,LEAD,enetaxplus.com
enjoyac_com.png,LEAD,enjoyac.com
enviro_master_com_commercial_cleaning_locations_or.png,LEAD,enviro.master.com.commercial.cleaning.locations.or
epvirtualcpa_com.png,LEAD,epvirtualcpa.com
esgflorida_com.png,LEAD,esgflorida.com
esteselectricinc_com.png,LEAD,esteselectricinc.com
excellencerestoration_com.png,LEAD,excellencerestoration.com
expertelectricfl_com.png,LEAD,expertelectricfl.com
ezroofingsystems_com.png,LEAD,ezroofingsystems.com
firstqualityplumbingfl_com_service_areas_orlando__.png,LEAD,firstqualityplumbingfl.com.service.areas.orlando..
floridalandscapepros_com.png,LEAD,floridalandscapepros.com
fl_roofing_co_ueniweb_com__utm_campaign_gmb.png,LEAD,fl.roofing.co.ueniweb.com..utm.campaign.gmb
freshcoatservicesfl_com.png,LEAD,freshcoatservicesfl.com
fuquaconstructionfl_com.png,LEAD,fuquaconstructionfl.com
ganthonylandscape_com.png,LEAD,ganthonylandscape.com
gcedestin_com__utm_source_google_utm_medium_organi.png,LEAD,gcedestin.com..utm.source.google.utm.medium.organi
gembecki_com.png,LEAD,gembecki.com
georgetrenenbushcpa_com.png,LEAD,georgetrenenbushcpa.com
gilileoslandscapingservice_com.png,LEAD,gilileoslandscapingservice.com
gnxconstruction_com.png,LEAD,gnxconstruction.com
goalbridgeg_com.png,LEAD,goalbridgeg.com
goffroofsystems_com.png,LEAD,goffroofsystems.com
goldenhammerroofing_com.png,LEAD,goldenhammerroofing.com
goldsmithpools_com.png,LEAD,goldsmithpools.com
gwplb_com.png,LEAD,gwplb.com
g_gelectricservice_com.png,LEAD,g.gelectricservice.com
handymanconnection_com_winter_park__utm_source_gbp.png,LEAD,handymanconnection.com.winter.park..utm.source.gbp
handymencompany_fl_com.png,LEAD,handymencompany.fl.com
harprollc_com.png,LEAD,harprollc.com
haynespestcontrol_com.png,LEAD,haynespestcontrol.com
hilowroofing_com.png,LEAD,hilowroofing.com
homeleaderrenovation_com_plant_city_fl.png,LEAD,homeleaderrenovation.com.plant.city.fl
honestpace_com__utm_source_gmb_utm_medium_organic_.png,LEAD,honestpace.com..utm.source.gmb.utm.medium.organic.
horizonflorida_com.png,LEAD,horizonflorida.com
hudsonspools_com.png,LEAD,hudsonspools.com
huttoassociates_com.png,LEAD,huttoassociates.com
hvacserviceslakeland_com_about_us.png,LEAD,hvacserviceslakeland.com.about.us
instudioandco_com.png,LEAD,instudioandco.com
jan_pro_com_orlando__utm_source_gmb_utm_medium_org.png,LEAD,jan.pro.com.orlando..utm.source.gmb.utm.medium.org
jdmroofrestoration_com.png,LEAD,jdmroofrestoration.com
jeffsplumbingorlando_com.png,LEAD,jeffsplumbingorlando.com
jenkinsroofingtampa_com.png,LEAD,jenkinsroofingtampa.com
johnsplumbing_com.png,LEAD,johnsplumbing.com
joshjohnsonpestcontrol_com.png,LEAD,joshjohnsonpestcontrol.com
joshregistercpa_com.png,LEAD,joshregistercpa.com
kcmendez_com.png,LEAD,kcmendez.com
keithpest_com.png,LEAD,keithpest.com
kimberlandscapes_net.png,LEAD,kimberlandscapes.net
klsmithinc_com_home_2__src_google_mybusiness_get_q.png,LEAD,klsmithinc.com.home.2..src.google.mybusiness.get.q
kozlowskicpa_com.png,LEAD,kozlowskicpa.com
kreativeresources_com.png,LEAD,kreativeresources.com
k_celectric_com.png,LEAD,k.celectric.com
lakelandbenjaminfranklin_com__utm_source_gbp_utm_m.png,LEAD,lakelandbenjaminfranklin.com..utm.source.gbp.utm.m
lakelandelectricianpros_com.png,LEAD,lakelandelectricianpros.com
lakelandelectric_com_contact_us.png,LEAD,lakelandelectric.com.contact.us
lakelandmistersparky_com__utm_source_gbp_utm_mediu.png,LEAD,lakelandmistersparky.com..utm.source.gbp.utm.mediu
lakelandonehour_com__utm_source_gbp_utm_medium_org.png,LEAD,lakelandonehour.com..utm.source.gbp.utm.medium.org
lakenonacleaning_com.png,LEAD,lakenonacleaning.com
