filename,url_hint,audit_status
http___www_coolmaxairllc_com_.png,http...www.coolmaxairllc.com.,RECHECK
http___www_cpataxorlando_com_about_uscontact_html.png,http...www.cpataxorlando.com.about.uscontact.html,LEAD
http___www_dotsconstruction_com_.png,http...www.dotsconstruction.com.,LEAD
http___www_dynamicplumbingtechnology_com_.png,http...www.dynamicplumbingtechnology.com.,RECHECK
http___www_favergrayhomes_com_.png,http...www.favergrayhomes.com.,NOT_LEAD
http___www_getelectricrepairs_com_.png,http...www.getelectricrepairs.com.,RECHECK
http___www_hermajestyservices_com_.png,http...www.hermajestyservices.com.,RECHECK
http___www_homedesignandrepair_com_.png,http...www.homedesignandrepair.com.,RECHECK
http___www_htdcleaningservices_com_.png,http...www.htdcleaningservices.com.,RECHECK
http___www_jackmeekscpa_com_.png,http...www.jackmeekscpa.com.,LEAD
http___www_manfredodesigns_com_.png,http...www.manfredodesigns.com.,LEAD
http___www_mcmcleaners_com_.png,http...www.mcmcleaners.com.,LEAD
http___www_natureguardusa_com_.png,http...www.natureguardusa.com.,RECHECK
http___www_perfect_pool_net_.png,http...www.perfect.pool.net.,NOT_LEAD
http___www_primeroofingfl_com_.png,http...www.primeroofingfl.com.,RECHECK
http___www_proplumbing_air_com_.png,http...www.proplumbing.air.com.,RECHECK
http___www_quality_craftsmen_com_.png,http...www.quality.craftsmen.com.,LEAD
http___www_redsquaretax_com_.png,http...www.redsquaretax.com.,RECHECK
http___www_rgcocpa_com__utm_source_google_business.png,http...www.rgcocpa.com..utm.source.google.business,RECHECK
http___www_risingtidebuilders_com_.png,http...www.risingtidebuilders.com.,RECHECK
http___www_sanjayguptacpa_com_.png,http...www.sanjayguptacpa.com.,RECHECK
http___www_semcoconstruction_com_.png,http...www.semcoconstruction.com.,NOT_LEAD
http___www_skohomes_com_.png,http...www.skohomes.com.,RECHECK
http___www_staydryfl_com_.png,http...www.staydryfl.com.,RECHECK
http___www_sunstatenursery_com_.png,http...www.sunstatenursery.com.,NOT_LEAD
http___www_tier1pestsolution_com_.png,http...www.tier1pestsolution.com.,RECHECK
http___www_tmpelectricllc_com_.png,http...www.tmpelectricllc.com.,RECHECK
